year,region,SSP1,SSP2,SSP3,SSP4,SSP5
y1981,REF,0.630736102312852,0.630736102312852,0.630736102312852,0.630736102312852,0.630736102312852
y1981,CAZ,0.797462096553386,0.797462096553386,0.797462096553386,0.797462096553386,0.797462096553386
y1981,CHA,0.217978726339079,0.217978726339079,0.217978726339079,0.217978726339079,0.217978726339079
y1981,IND,0.23417,0.23417,0.23417,0.23417,0.23417
y1981,JPN,0.76273,0.76273,0.76273,0.76273,0.76273
y1981,USA,0.7389,0.7389,0.7389,0.7389,0.7389
y1982,LAM,0.65764715284943,0.65764715284943,0.65764715284943,0.65764715284943,0.65764715284943
y1982,OAS,0.275199418887802,0.275199418887802,0.275199418887802,0.275199418887802,0.275199418887802
y1982,SSA,0.234034252765215,0.234034252765215,0.234034252765215,0.234034252765215,0.234034252765215
y1982,EUR,0.692969557263266,0.692969557263266,0.692969557263266,0.692969557263266,0.692969557263266
y1982,NEU,0.498440789425038,0.498440789425038,0.498440789425038,0.498440789425038,0.498440789425038
y1982,MEA,0.477557514526559,0.477557514526559,0.477557514526559,0.477557514526559,0.477557514526559
y1982,REF,0.634531874102009,0.634531874102009,0.634531874102009,0.634531874102009,0.634531874102009
y1982,CAZ,0.798432189170307,0.798432189170307,0.798432189170307,0.798432189170307,0.798432189170307
y1982,CHA,0.225724751450566,0.225724751450566,0.225724751450566,0.225724751450566,0.225724751450566
y1982,IND,0.23647,0.23647,0.23647,0.23647,0.23647
y1982,JPN,0.76383,0.76383,0.76383,0.76383,0.76383
